Localidad,Especie,Largo pico,Ala,Cola,Tarso,Juanete,Alto pico,Ancho pico,Peso
1,Catharus gracilirostris,12,78.5,70,31,1.85,4.1,3.5,
1,Catharus gracilirostris,17,75,64,32.25,1.8,4.3,3.3,
1,Catharus gracilirostris,12,79,58,32.6,1.8,4.2,3.8,20.5
1,Catharus gracilirostris,18,79,65.5,33.8,1.6,4.3,3.5,20.5
1,Catharus gracilirostris,16,81,68,31.3,1.5,4.2,3.6,19.5
1,Catharus gracilirostris,18,72,65,31.15,1.9,4.3,3.5,21
1,Catharus gracilirostris,17.5,73,60,33.1,1.6,4.3,4.3,19.5
1,Catharus gracilirostris,18,74,70.5,32.1,1.8,4.1,4,21
1,Catharus gracilirostris,16,80,69,32,1.5,4.15,3.6,19.5
1,Catharus gracilirostris,17.25,73,59,30.6,1.45,4.15,3.75,17.2
1,Catharus gracilirostris,17,69.5,60,32.25,1.6,3.8,3.55,20.25
1,Catharus gracilirostris,15.5,76.5,60,31.08,2.05,4.3,3.4,21.25
1,Catharus gracilirostris,16.5,77,68,30.8,2.2,4.25,3.55,18.8
1,Catharus gracilirostris,18.5,68,65.5,31.3,1.8,5.1,3.3,20.5
1,Catharus gracilirostris,17,78.5,66,33.5,1.5,4,4,22
1,Catharus gracilirostris,18,75,63,33,1.9,3.6,3.5,19.5
1,Catharus gracilirostris,17,76.5,64,32.3,1.6,3.95,3.4,19.5
1,Catharus gracilirostris,17.5,74,65,31.65,1.55,4.3,3.42,19.5
1,Chlorospingus pileatus,16.1,73.7,69.4,23.4,,6.25,4,20.75
1,Chlorospingus pileatus,13.5,76,62.8,23.9,,5.8,4.1,20.2
1,Chlorospingus pileatus,16,74,65,24.25,2.25,5.9,3.7,20
1,Chlorospingus pileatus,16,71,65,24.1,2.5,6.8,3.5,19.7
1,Chlorospingus pileatus,14,70.5,60.5,23.95,2.4,6,4,20
1,Chlorospingus pileatus,15,73,67,23.5,2.5,6.5,4,21.2
1,Chlorospingus pileatus,16,71,65,23.6,2.2,6.2,4.1,19
1,Chlorospingus pileatus,14.5,73,66,24.5,2.45,6.1,4,20
1,Chlorospingus pileatus,15,69.5,60,,,6.05,3.9,17
1,Chlorospingus pileatus,15,70.5,66.5,24.1,2.6,6.6,4.2,20.5
1,Chlorospingus pileatus,15.5,68,61,24.6,2.45,6.55,3.85,21
1,Chlorospingus pileatus,17,75.5,69,24.4,2.7,6.65,4.45,23
1,Chlorospingus pileatus,16,69.5,64,25,2.8,6.35,4.5,19
1,Chlorospingus pileatus,15.25,69,63,23.1,2.4,6.5,3.9,17
1,Chlorospingus pileatus,16,69,64,23.2,2.8,6.2,4.6,20
1,Chlorospingus pileatus,14.5,69.5,67.5,24,2.7,6.3,3.9,20
1,Chlorospingus pileatus,16,69.5,67.5,24.2,2.3,6.7,4,19.7
1,Chlorospingus pileatus,13,76,70,25.55,2.7,6.45,4.2,20.5
1,Chlorospingus pileatus,13.5,69,60,23.2,2.35,6.2,4,17.8
1,Chlorospingus pileatus,15.5,69.5,63,23.25,2.35,6.7,4.35,19
1,Chlorospingus pileatus,15,75,69,23.65,2.75,6.5,3.9,20.5
1,Chlorospingus pileatus,16,68.5,60.5,24,2.25,6.35,4,20
1,Chlorospingus pileatus,17,75.5,69,24.4,2.7,6.65,4.45,23
2,Catharus gracilirostris,19,77,61,31.7,1.3,3.9,3.45,20.5
2,Catharus gracilirostris,17,77,64,31.9,1.75,3.5,3.4,18
2,Catharus gracilirostris,17,79.5,67,32.7,1.45,3.8,3.6,18.5
2,Catharus gracilirostris,14.5,74,60,33.6,1.2,4.1,3.2,20.5
2,Catharus gracilirostris,16,80,61,32.2,1.4,4.2,3.9,19.5
2,Catharus gracilirostris,16.5,80,57,31.9,1.3,4.1,3.2,20.5
2,Catharus gracilirostris,18,81.5,69,31.5,2,4.3,3.5,19.5
2,Catharus gracilirostris,17,79,61,30.55,1.4,4.45,3.55,19
2,Catharus gracilirostris,16,80,67,31.6,1.4,3.9,3.25,20
2,Catharus gracilirostris,16,76,62,32.3,1.6,3.7,3.4,21.2
2,Chlorospingus pileatus,16.5,73,66,23.25,2.5,6.2,4.2,21
2,Chlorospingus pileatus,16,69,59,24.8,2.8,6.85,4.4,20
2,Chlorospingus pileatus,16,74,67,24.2,2.6,6.55,4,19.5
2,Chlorospingus pileatus,15,68.5,59,22.5,2.6,6.4,4.4,18
2,Chlorospingus pileatus,17.5,73,64,24.55,2.75,6.15,4.1,20
2,Chlorospingus pileatus,16.5,70,64,24.7,2,6.8,4.5,20.5
2,Chlorospingus pileatus,15.5,68,0,25,2.1,6.2,4,20
2,Chlorospingus pileatus,15,67,61,24.75,2.5,6.2,4.1,20
2,Chlorospingus pileatus,17.5,67.5,55,22,2.35,6,4.45,18.5
3,Catharus gracilirostris,17,77,64,31.4,1.6,4,3.2,20.5
3,Catharus gracilirostris,16.5,78,62,32.3,1.65,4.2,3.8,21.5
3,Catharus gracilirostris,17.5,79,65,32.5,1.7,3.75,3.4,22.5
3,Catharus gracilirostris,15,76,58,33.2,1.45,3.9,3.1,21
3,Catharus gracilirostris,15,76,63,31.5,1.55,3.8,3.5,21
3,Catharus gracilirostris,17.5,79,61,32.5,1.9,3.95,3.75,21.5
3,Chlorospingus pileatus,15,66,61,23.2,2.65,6.25,3.8,20.5
3,Chlorospingus pileatus,15,68,61,23.7,2.3,6.75,3.9,20
3,Chlorospingus pileatus,16,72.5,66,23.6,2.6,7.35,3.9,22.2
3,Chlorospingus pileatus,16,66.5,58,23.05,2.6,7.1,3.9,21.5
3,Chlorospingus pileatus,15.5,66.5,58,24.4,2.3,7,4,21
3,Chlorospingus pileatus,14.5,66,60.5,24.4,2.4,6.55,3.65,21.5
3,Chlorospingus pileatus,15,73,65,22.65,2.6,6.35,3.5,20.5
3,Chlorospingus pileatus,15,66.5,58,22.15,2.1,5.85,3.9,18.5
3,Chlorospingus pileatus,16,72.5,66,23.35,2.5,6.15,4.6,21.2
3,Chlorospingus pileatus,15.5,71,67,22.95,2.5,6.4,3.85,21
3,Chlorospingus pileatus,15.5,75,68,23.25,2.3,6.85,4,19.5
3,Chlorospingus pileatus,15,69,60,24.45,2.25,5.75,3.9,20.5
3,Chlorospingus pileatus,15,70.5,63,23.6,2.7,5.5,3.95,17.5
3,Chlorospingus pileatus,16.5,73,62.5,25,2.85,6.55,3.85,20.5
3,Chlorospingus pileatus,12.5,71,59,24.1,2.1,6.4,4.1,19.5
3,Chlorospingus pileatus,15,68.5,59,24.5,1.9,6,4.8,19.2
3,Chlorospingus pileatus,16.5,70,62,25,2.4,6.4,4.4,21
3,Chlorospingus pileatus,14.5,70,56,23.35,2.1,6.1,4.55,19.5
4,Catharus gracilirostris,17,76,61,33.5,1.5,4.25,3.5,20
4,Catharus gracilirostris,19,77,57.5,30.2,1.6,4.45,3.4,19.3
4,Catharus gracilirostris,16.5,72.5,64,32.6,1.65,3.8,3.8,22.5
4,Catharus gracilirostris,18.5,74.5,66,31.25,1.55,4.2,3.9,23.5
4,Catharus gracilirostris,17,70.5,57,31.1,1.6,4,3.6,18.5
4,Chlorospingus pileatus,15.5,71,64.5,24.4,2.75,6.2,4.05,20
4,Chlorospingus pileatus,16,68,58,23.05,2.7,6.1,4.15,20
4,Chlorospingus pileatus,15.5,69.5,61.5,24.05,2.7,6.8,4.3,26
4,Chlorospingus pileatus,18.5,73,63.5,24.9,2.8,6.4,4,21
4,Chlorospingus pileatus,14.5,69,62,23.2,2.55,6.05,4,19
4,Chlorospingus pileatus,16,67,64,22.3,2.6,6.1,4.55,17
4,Chlorospingus pileatus,15.6,68,61,23.1,2.5,6.15,4.75,19.5
4,Chlorospingus pileatus,15.5,70.5,61,24.5,2.45,7.1,4.05,20.5
